url,title,cluster,primaryKeyword,intent,funnelStage,status,internalLinkTarget,bookingLinkTarget,lastRefreshed,note
"https://josetteperrone.com/blog/what-new-nurses-need-to-know-about-workplace-boundaries","What New Nurses Need to Know About Workplace Boundaries","Healthcare Worker Safety","what new nurses need to know about workplace boundaries","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","protecting safety while learning unit culture"
"https://josetteperrone.com/blog/protecting-nurses-during-high-acuity-patient-care","Protecting Nurses During High-Acuity Patient Care","Healthcare Worker Safety","protecting nurses during high-acuity patient care","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","anticipation, role clarity, and team support"
"https://josetteperrone.com/blog/why-reporting-near-misses-should-feel-routine","Why Reporting Near Misses Should Feel Routine","Healthcare Worker Safety","why reporting near misses should feel routine","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","turning small signals into safer systems"
"https://josetteperrone.com/blog/the-safety-value-of-a-calm-charge-nurse","The Safety Value of a Calm Charge Nurse","Healthcare Worker Safety","the safety value of a calm charge nurse","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","how tone, pacing, and communication influence the unit"
"https://josetteperrone.com/blog/healthcare-worker-safety-is-a-retention-strategy","Healthcare Worker Safety Is a Retention Strategy","Healthcare Worker Safety","healthcare worker safety is a retention strategy","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","connecting safety culture to staffing stability"
"https://josetteperrone.com/blog/when-nurses-feel-unsafe-patients-feel-the-impact","When Nurses Feel Unsafe, Patients Feel the Impact","Healthcare Worker Safety","when nurses feel unsafe, patients feel the impact","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","understanding the link between staff safety and care quality"
"https://josetteperrone.com/blog/building-safer-hand-offs-in-busy-clinical-environments","Building Safer Hand-Offs in Busy Clinical Environments","Healthcare Worker Safety","building safer hand-offs in busy clinical environments","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","reducing preventable gaps during transitions"
"https://josetteperrone.com/blog/how-to-make-safety-huddles-worth-the-time","How to Make Safety Huddles Worth the Time","Healthcare Worker Safety","how to make safety huddles worth the time","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","brief, focused, actionable team check-ins"
"https://josetteperrone.com/blog/the-emotional-safety-side-of-clinical-practice","The Emotional Safety Side of Clinical Practice","Healthcare Worker Safety","the emotional safety side of clinical practice","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","why dignity, respect, and trust matter operationally"
"https://josetteperrone.com/blog/safety-culture-is-built-in-the-small-moments","Safety Culture Is Built in the Small Moments","Healthcare Worker Safety","safety culture is built in the small moments","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","micro-behaviors that shape whether nurses speak up"
"https://josetteperrone.com/blog/burnout-is-not-a-personal-failure","Burnout Is Not a Personal Failure","Burnout and Resilience","burnout is not a personal failure","professional development / speaker support","authority support","indexable cornerstone","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","moving from self-blame to systems-aware resilience"
"https://josetteperrone.com/blog/why-emergency-nurses-need-recovery-rituals","Why Emergency Nurses Need Recovery Rituals","Burnout and Resilience","why emergency nurses need recovery rituals","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","simple transitions after high-intensity care"
"https://josetteperrone.com/blog/moral-distress-and-the-nurse-who-keeps-showing-up","Moral Distress and the Nurse Who Keeps Showing Up","Burnout and Resilience","moral distress and the nurse who keeps showing up","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","naming the burden of knowing what patients need"
"https://josetteperrone.com/blog/the-difference-between-resilience-and-endurance","The Difference Between Resilience and Endurance","Burnout and Resilience","the difference between resilience and endurance","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","why coping is not the same as being unsupported"
"https://josetteperrone.com/blog/burnout-prevention-starts-with-better-listening","Burnout Prevention Starts with Better Listening","Burnout and Resilience","burnout prevention starts with better listening","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","what leaders can hear before staff disengage"
"https://josetteperrone.com/blog/using-micro-recovery-during-long-shifts","Using Micro-Recovery During Long Shifts","Burnout and Resilience","using micro-recovery during long shifts","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","small pauses that protect attention and regulation"
"https://josetteperrone.com/blog/why-nurses-need-permission-to-be-human","Why Nurses Need Permission to Be Human","Burnout and Resilience","why nurses need permission to be human","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","normalizing emotion after difficult clinical moments"
"https://josetteperrone.com/blog/compassion-fatigue-in-high-acuity-care","Compassion Fatigue in High-Acuity Care","Burnout and Resilience","compassion fatigue in high-acuity care","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","recognizing signs before empathy becomes depletion"
"https://josetteperrone.com/blog/resilience-metrics-should-lead-to-action","Resilience Metrics Should Lead to Action","Burnout and Resilience","resilience metrics should lead to action","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","using data to change support systems"
"https://josetteperrone.com/blog/how-mentorship-protects-against-burnout","How Mentorship Protects Against Burnout","Burnout and Resilience","how mentorship protects against burnout","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","connection as a clinical retention tool"
"https://josetteperrone.com/blog/the-burnout-risk-of-always-being-the-strong-one","The Burnout Risk of Always Being the Strong One","Burnout and Resilience","the burnout risk of always being the strong one","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","supporting experienced nurses who carry the unit"
"https://josetteperrone.com/blog/rebuilding-purpose-after-a-difficult-shift","Rebuilding Purpose After a Difficult Shift","Burnout and Resilience","rebuilding purpose after a difficult shift","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","reflective practice without rumination"
"https://josetteperrone.com/blog/why-break-culture-matters-in-nursing","Why Break Culture Matters in Nursing","Burnout and Resilience","why break culture matters in nursing","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","rest as a safety intervention"
"https://josetteperrone.com/blog/burnout-conversations-need-more-precision","Burnout Conversations Need More Precision","Burnout and Resilience","burnout conversations need more precision","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","separating workload, moral distress, fatigue, and grief"
"https://josetteperrone.com/blog/a-practical-resilience-framework-for-nurse-teams","A Practical Resilience Framework for Nurse Teams","Burnout and Resilience","a practical resilience framework for nurse teams","professional development / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nurse-burnout-resilience","https://josetteperrone.com/#booking","2026-06-14","shared language for stress, support, and recovery"
"https://josetteperrone.com/blog/what-emergency-nursing-teaches-about-priorities","What Emergency Nursing Teaches About Priorities","Emergency and Trauma Nursing","what emergency nursing teaches about priorities","clinical leadership / speaker support","authority support","indexable cornerstone","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","rapid assessment, stabilization, and flexible thinking"
"https://josetteperrone.com/blog/the-first-five-minutes-of-a-high-acuity-situation","The First Five Minutes of a High-Acuity Situation","Emergency and Trauma Nursing","the first five minutes of a high-acuity situation","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","role clarity and controlled urgency"
"https://josetteperrone.com/blog/why-trauma-teams-depend-on-communication-discipline","Why Trauma Teams Depend on Communication Discipline","Emergency and Trauma Nursing","why trauma teams depend on communication discipline","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","closed-loop language and shared mental models"
"https://josetteperrone.com/blog/caring-for-the-patient-and-the-room-at-the-same-time","Caring for the Patient and the Room at the Same Time","Emergency and Trauma Nursing","caring for the patient and the room at the same time","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","situational awareness in crowded care spaces"
"https://josetteperrone.com/blog/the-teaching-power-of-emergency-nursing-stories","The Teaching Power of Emergency Nursing Stories","Emergency and Trauma Nursing","the teaching power of emergency nursing stories","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","turning clinical experiences into learning without drama"
"https://josetteperrone.com/blog/how-ed-nurses-build-clinical-pattern-recognition","How ED Nurses Build Clinical Pattern Recognition","Emergency and Trauma Nursing","how ed nurses build clinical pattern recognition","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","experience, reflection, and guided precepting"
"https://josetteperrone.com/blog/the-quiet-skills-behind-fast-nursing-decisions","The Quiet Skills Behind Fast Nursing Decisions","Emergency and Trauma Nursing","the quiet skills behind fast nursing decisions","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","assessment, anticipation, and team trust"
"https://josetteperrone.com/blog/managing-cognitive-load-in-emergency-care","Managing Cognitive Load in Emergency Care","Emergency and Trauma Nursing","managing cognitive load in emergency care","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","reducing noise while preserving urgency"
"https://josetteperrone.com/blog/why-protocols-still-need-human-judgment","Why Protocols Still Need Human Judgment","Emergency and Trauma Nursing","why protocols still need human judgment","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","using standards without losing clinical reasoning"
"https://josetteperrone.com/blog/supporting-novice-nurses-in-high-acuity-spaces","Supporting Novice Nurses in High-Acuity Spaces","Emergency and Trauma Nursing","supporting novice nurses in high-acuity spaces","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","precepting without overwhelming the learner"
"https://josetteperrone.com/blog/the-ed-nurse-as-translator","The ED Nurse as Translator","Emergency and Trauma Nursing","the ed nurse as translator","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","helping patients and families understand urgent care"
"https://josetteperrone.com/blog/after-the-code-what-teams-need-next","After the Code: What Teams Need Next","Emergency and Trauma Nursing","after the code: what teams need next","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","debriefing, reset, and emotional recovery"
"https://josetteperrone.com/blog/trauma-nursing-and-the-discipline-of-preparedness","Trauma Nursing and the Discipline of Preparedness","Emergency and Trauma Nursing","trauma nursing and the discipline of preparedness","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","what readiness looks like before the patient arrives"
"https://josetteperrone.com/blog/when-the-waiting-room-is-part-of-the-clinical-picture","When the Waiting Room Is Part of the Clinical Picture","Emergency and Trauma Nursing","when the waiting room is part of the clinical picture","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","communication and safety beyond the bedside"
"https://josetteperrone.com/blog/emergency-nursing-lessons-for-every-healthcare-team","Emergency Nursing Lessons for Every Healthcare Team","Emergency and Trauma Nursing","emergency nursing lessons for every healthcare team","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/emergency-trauma-nursing","https://josetteperrone.com/#booking","2026-06-14","adaptability, prioritization, and calm execution"
"https://josetteperrone.com/blog/students-learn-best-when-they-feel-safe-enough-to-try","Students Learn Best When They Feel Safe Enough to Try","Nursing Education","students learn best when they feel safe enough to try","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","psychological safety in nursing education"
"https://josetteperrone.com/blog/why-case-studies-still-work","Why Case Studies Still Work","Nursing Education","why case studies still work","nursing education / academic speaker support","authority support","indexable cornerstone","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","bridging theory and clinical judgment"
"https://josetteperrone.com/blog/teaching-clinical-judgment-in-the-first-semester","Teaching Clinical Judgment in the First Semester","Nursing Education","teaching clinical judgment in the first semester","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","building habits before complexity increases"
"https://josetteperrone.com/blog/the-nurse-educator-as-facilitator-and-coach","The Nurse Educator as Facilitator and Coach","Nursing Education","the nurse educator as facilitator and coach","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","moving from lecture-only to active learning"
"https://josetteperrone.com/blog/how-role-play-builds-communication-confidence","How Role Play Builds Communication Confidence","Nursing Education","how role play builds communication confidence","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","practicing difficult conversations before the bedside"
"https://josetteperrone.com/blog/feedback-that-helps-nursing-students-grow","Feedback That Helps Nursing Students Grow","Nursing Education","feedback that helps nursing students grow","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","specific, timely, respectful coaching"
"https://josetteperrone.com/blog/online-nursing-education-can-still-feel-human","Online Nursing Education Can Still Feel Human","Nursing Education","online nursing education can still feel human","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","presence, feedback, and structure in virtual learning"
"https://josetteperrone.com/blog/why-approachable-faculty-matter","Why Approachable Faculty Matter","Nursing Education","why approachable faculty matter","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","trust as a condition for learning"
"https://josetteperrone.com/blog/helping-students-connect-theory-to-practice","Helping Students Connect Theory to Practice","Nursing Education","helping students connect theory to practice","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","making abstract concepts clinically relevant"
"https://josetteperrone.com/blog/teaching-the-hidden-curriculum-of-nursing","Teaching the Hidden Curriculum of Nursing","Nursing Education","teaching the hidden curriculum of nursing","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","professional behavior, teamwork, and resilience"
"https://josetteperrone.com/blog/inclusive-classrooms-build-safer-clinicians","Inclusive Classrooms Build Safer Clinicians","Nursing Education","inclusive classrooms build safer clinicians","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","belonging as a learning and safety issue"
"https://josetteperrone.com/blog/the-value-of-formative-assessment","The Value of Formative Assessment","Nursing Education","the value of formative assessment","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","checking understanding before the stakes are high"
"https://josetteperrone.com/blog/why-nursing-students-need-structured-reflection","Why Nursing Students Need Structured Reflection","Nursing Education","why nursing students need structured reflection","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","learning from clinical experience without shame"
"https://josetteperrone.com/blog/mentorship-starts-in-the-classroom","Mentorship Starts in the Classroom","Nursing Education","mentorship starts in the classroom","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","how educators model professional identity"
"https://josetteperrone.com/blog/student-centered-learning-in-clinical-education","Student-Centered Learning in Clinical Education","Nursing Education","student-centered learning in clinical education","nursing education / academic speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/nursing-education","https://josetteperrone.com/#booking","2026-06-14","making learners active participants in judgment"
"https://josetteperrone.com/blog/clear-communication-is-a-clinical-skill","Clear Communication Is a Clinical Skill","Clinical Communication","clear communication is a clinical skill","team safety / communication speaker support","authority support","indexable cornerstone","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","why words shape safety and trust"
"https://josetteperrone.com/blog/speaking-up-without-sounding-combative","Speaking Up Without Sounding Combative","Clinical Communication","speaking up without sounding combative","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","professional advocacy in tense moments"
"https://josetteperrone.com/blog/the-power-of-closed-loop-communication","The Power of Closed-Loop Communication","Clinical Communication","the power of closed-loop communication","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","confirming shared understanding under pressure"
"https://josetteperrone.com/blog/how-nurses-translate-complexity-for-families","How Nurses Translate Complexity for Families","Clinical Communication","how nurses translate complexity for families","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","clarity without oversimplifying"
"https://josetteperrone.com/blog/communication-lessons-from-broadcast-production","Communication Lessons from Broadcast Production","Clinical Communication","communication lessons from broadcast production","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","audience, timing, clarity, and message discipline"
"https://josetteperrone.com/blog/why-tone-matters-during-clinical-escalation","Why Tone Matters During Clinical Escalation","Clinical Communication","why tone matters during clinical escalation","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","calm language as a stabilizing force"
"https://josetteperrone.com/blog/teaching-students-to-give-concise-reports","Teaching Students to Give Concise Reports","Clinical Communication","teaching students to give concise reports","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","organizing information in ways teams can use"
"https://josetteperrone.com/blog/when-silence-becomes-a-safety-risk","When Silence Becomes a Safety Risk","Clinical Communication","when silence becomes a safety risk","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","creating norms for early concern-sharing"
"https://josetteperrone.com/blog/how-to-communicate-limits-with-compassion","How to Communicate Limits With Compassion","Clinical Communication","how to communicate limits with compassion","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","boundaries that preserve dignity"
"https://josetteperrone.com/blog/better-questions-create-better-clinical-thinking","Better Questions Create Better Clinical Thinking","Clinical Communication","better questions create better clinical thinking","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","coaching inquiry instead of giving answers too soon"
"https://josetteperrone.com/blog/communication-fatigue-is-real","Communication Fatigue Is Real","Clinical Communication","communication fatigue is real","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","why repeated explanations drain clinicians"
"https://josetteperrone.com/blog/making-handoffs-more-human-and-more-reliable","Making Handoffs More Human and More Reliable","Clinical Communication","making handoffs more human and more reliable","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","balancing structure with patient context"
"https://josetteperrone.com/blog/the-nurse-as-ethical-communicator","The Nurse as Ethical Communicator","Clinical Communication","the nurse as ethical communicator","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","truth, timing, and patient-centered language"
"https://josetteperrone.com/blog/how-leaders-communicate-during-uncertainty","How Leaders Communicate During Uncertainty","Clinical Communication","how leaders communicate during uncertainty","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","what staff need to hear when conditions change"
"https://josetteperrone.com/blog/turning-conflict-into-clinical-clarity","Turning Conflict Into Clinical Clarity","Clinical Communication","turning conflict into clinical clarity","team safety / communication speaker support","authority support","noindex support archive","https://josetteperrone.com/topics/healthcare-communication-safety","https://josetteperrone.com/#booking","2026-06-14","using disagreement to improve shared understanding"
"https://josetteperrone.com/blog/patient-advocacy-begins-with-noticing","Patient Advocacy Begins With Noticing","Patient Advocacy","patient advocacy begins with noticing","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","attention, curiosity, and follow-through"
"https://josetteperrone.com/blog/helping-patients-feel-seen-in-busy-settings","Helping Patients Feel Seen in Busy Settings","Patient Advocacy","helping patients feel seen in busy settings","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","small behaviors that preserve dignity"
"https://josetteperrone.com/blog/advocacy-when-the-system-is-moving-fast","Advocacy When the System Is Moving Fast","Patient Advocacy","advocacy when the system is moving fast","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","speaking for patient needs under time pressure"
"https://josetteperrone.com/blog/the-link-between-nurse-well-being-and-patient-advocacy","The Link Between Nurse Well-Being and Patient Advocacy","Patient Advocacy","the link between nurse well-being and patient advocacy","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","why depleted nurses need support to advocate well"
"https://josetteperrone.com/blog/teaching-advocacy-to-new-nurses","Teaching Advocacy to New Nurses","Patient Advocacy","teaching advocacy to new nurses","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","turning values into bedside behavior"
"https://josetteperrone.com/blog/family-communication-as-advocacy","Family Communication as Advocacy","Patient Advocacy","family communication as advocacy","clinical leadership / speaker support","authority support","noindex support archive","https://josetteperrone.com/keynotes-workshops","https://josetteperrone.com/#booking","2026-06-14","reducing fear through clarity and presence"
